activity_date,period_role,period_start,period_end,period_days,period_label,source_type,site_location,equipment_type,operational_equipment_class,fleet_display_name,fleet_ident,fleet_specific,ahs_mode,tum_equipment_count,truck_count,source_truck_count_observed,operating_hours,operating_hours_per_truck,loading_unit_count,cycle_count,actual_tonnes,actual_tonnes_per_day,actual_tonnes_annualized_rate,actual_tonnes_per_truck_period,actual_tonnes_per_truck_day,quantity_reporting_avg,payload,payload_from_quantity_per_cycle,empty_distance_km,loaded_distance_km,empty_travel_minutes,loaded_travel_minutes,empty_speed_kph,loaded_speed_kph,queue_load_minutes,spot_load_minutes,truck_loading_minutes,queue_dump_minutes,spot_dump_minutes,dumping_minutes,cycle_time_minutes,cycle_seconds,rate_tph,modelled_tmm,modelled_tmm_per_day,modelled_tmm_annualized_rate,model_error_tonnes,model_error_pct,calendar_hours,not_required_hours,required_hours,scheduled_hours,scheduled_maintenance_hours,unscheduled_maintenance_hours,available_hours,operational_standby_hours,operating_delay_hours,working_hours,productive_hours,non_productive_hours,full_rate_productive_hours,availability_current,operating_of_available,working_of_available,productive_of_working,tum_required_balance_delta_hours,tum_scheduled_balance_delta_hours,tum_available_balance_delta_hours,tum_operating_balance_delta_hours,tum_working_balance_delta_hours,tum_productive_balance_delta_hours,cycle_balance_delta_minutes,source_quality_flag,source_quality_note
2025-04-01,actual_day,2025-04-01,2025-04-01,1,2025-04-01,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,19,19,19,332.126389,17.48033626315789474,19,809,191867.0000,191867.0000,70031455.0000,10098.263157894736842105,10098.263157894736842105,237.16563659,233.54524104,237.165636588380716934,3.3158093,3.1695835,7.119154228855721,7.899591836734694,27.945532798490515,24.074029890461922,3.7535742035742037,1.0135593220338983,2.9195710455764075,0.7764767932489451,0.6387969924812029,0.8383571428571429,24.95908156536222,1497.544893921733,561.4274878546253,186464.88422649805,186464.88422649805,6.805968274267179E7,-5402.1157735019515,-0.02815552321921931,357.545000,0.000000,357.545000,356.120000,1.425000,16.255833,339.864167,7.737778,39.612222,292.514167,239.583889,52.930278,239.583889,0.9505493481007052,0.9772327343195116,0.8606796342656502,0.819050549308628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=19
2025-04-02,actual_day,2025-04-02,2025-04-02,1,2025-04-02,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,20,20,20,360.229444,18.01147220000000000,17,854,202688.0000,202688.0000,73981120.0000,10134.400000000000000000,10134.400000000000000000,237.33957845,233.42084309,237.339578454332552693,3.1788454,2.9910212,7.461517295597485,7.970584498094028,25.561922119049,22.51544689638681,3.793880489560835,1.1166666666666667,3.1892513592639062,0.8502321262766945,0.6514885309907272,0.8513234634365185,25.884944429886858,1553.0966657932115,541.0577806467873,194904.94349426613,194904.94349426613,7.114030437540714E7,-7783.056505733868,-0.038399197316732456,392.370000,0.000000,392.370000,363.970000,28.400000,0.873333,363.096667,2.867222,37.033611,323.195833,265.195000,58.000833,265.195000,0.9253935486063325,0.9921034190466573,0.8901096126834911,0.8205396624853353,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.0,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=20
2025-04-03,actual_day,2025-04-03,2025-04-03,1,2025-04-03,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,20,21,21,345.256667,16.44079366666666667,13,924,219612.0000,219612.0000,80158380.0000,10457.714285714285714286,10457.714285714285714286,237.67532468,237.81796537,237.675324675324675325,2.8991055,2.7280527,6.452517162471396,7.55552096305521,26.95790272541892,21.6640470988531,3.5903115264797507,0.9550243111831442,3.050958792329661,1.5104638619201727,0.6212207916070578,0.8361873638344227,24.572204772880813,1474.3322863728488,580.6999434559535,200490.527004691,200490.527004691,7.31790423567122E7,-19121.472995309014,-0.08706934500532308,356.651667,0.000000,356.651667,356.651667,0.000000,9.608889,347.042778,1.786111,42.965278,302.291389,239.405833,62.885556,239.405833,0.9730580569587818,0.9948533402062186,0.8710493583083738,0.7919704038322112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.105427357601002E-15,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=21
2025-04-04,actual_day,2025-04-04,2025-04-04,1,2025-04-04,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,21,22,22,278.330556,12.65138890909090909,15,954,227358.0000,227358.0000,82985670.0000,10334.454545454545454545,10334.454545454545454545,238.32075472,234.51572327,238.320754716981132075,2.8084852,2.7560085,6.139906890130353,6.950802246289611,27.444896969182288,23.790133014972575,3.2407754846779238,1.0598713646532438,3.3115415176797773,1.2032142857142856,0.6340277777777777,0.7901736552308344,23.330313222153805,1399.8187933292284,603.1184949046732,167866.30602070087,167866.30602070087,6.127120169755582E7,-59491.69397929913,-0.26166527669709944,293.347778,0.000000,293.347778,293.347778,0.000000,13.985278,279.362500,1.031944,33.121389,245.209167,201.171944,44.037222,201.171944,0.9523252642862283,0.9963060738486932,0.8777454621384999,0.820409559638993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.0,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=22
2025-04-05,actual_day,2025-04-05,2025-04-05,1,2025-04-05,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,22,22,22,264.402222,12.01828281818181818,17,1048,249964.0000,249964.0000,91236860.0000,11362.000000000000000000,11362.000000000000000000,238.51526718,235.74460363,238.515267175572519084,2.4738665,2.3865827,6.04199604743083,6.0278596491228065,24.56671418431597,23.755523574746498,3.748215488215488,0.9685773074661963,3.380786555786556,1.9675308641975309,0.643815987933635,0.7136714443219405,23.492453344474985,1409.547200668499,602.0944688233926,159195.11541081473,159195.11541081473,5.810621712494738E7,-90768.88458918527,-0.3631278287640831,321.622500,0.000000,321.622500,303.108333,18.514167,36.888056,266.220278,1.818056,37.228889,227.173333,169.461944,57.711389,169.461944,0.8277414601832204,0.9931708599708053,0.8533284362469259,0.7459587881989279,0.000000,0.000000,-0.000001,0.000000,0.000000,0.000000,0.0,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=22
2025-04-06,actual_day,2025-04-06,2025-04-06,1,2025-04-06,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,22,23,23,310.676111,13.50765700000000000,17,1107,264165.0000,264165.0000,96420225.0000,11485.434782608695652174,11485.434782608695652174,238.63143631,237.13053297,238.631436314363143631,2.6188330,2.5594762,6.317966573816156,6.597055888223553,24.870340506580252,23.2783494034265,3.4000291375291374,0.9775373134328358,3.4671736997055933,1.2997773536895674,0.6359087564385578,0.7832985386221295,23.478747261457535,1408.724835687452,605.9876968630375,188265.90097525538,188265.90097525538,6.871705385596822E7,-75899.09902474462,-0.287317014081141,331.015556,0.000000,331.015556,326.669167,4.346389,10.744444,315.924722,5.248611,40.509167,270.166944,214.858333,55.308611,214.858333,0.954410501017072,0.9833865134890608,0.8551624024358827,0.7952798732470973,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,3.552713678800501E-15,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=23
2025-04-07,actual_day,2025-04-07,2025-04-07,1,2025-04-07,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,23,23,23,282.509722,12.28303139130434783,19,1194,284604.0000,284604.0000,103880460.0000,12374.086956521739130435,12374.086956521739130435,238.36180905,237.51390285,238.361809045226130653,2.7401762,2.6507797,6.132929292929293,6.2324774354186125,26.80783751894064,25.519030537704214,3.599031339031339,0.9168247515808492,3.652192578963508,1.9192607003891051,0.6009508990318119,0.7999676689298416,23.853634666274353,1431.2180799764612,597.4282062409824,168779.2764600986,168779.2764600986,6.1604435907935984E7,-115824.7235399014,-0.4069680100768134,297.660833,0.000000,297.660833,297.660833,0.000000,9.914167,287.746667,5.236944,27.962778,254.546944,193.712222,60.834722,193.712222,0.9666930762920886,0.981800156001421,0.8846216965540676,0.7610078472754971,0.000000,0.000000,-0.000001,0.000001,0.000000,0.000000,-1.0658141036401503E-14,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=23
2025-04-08,actual_day,2025-04-08,2025-04-08,1,2025-04-08,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,22,23,23,272.072222,11.82922704347826087,18,966,231030.0000,231030.0000,84325950.0000,10044.782608695652173913,10044.782608695652173913,239.16149068,240.55403727,239.161490683229813665,2.9370981,2.8506625,6.471322256836276,6.382953249714938,27.23182048519308,26.796334440901415,4.110738255033557,0.9988648090815274,3.902092592592593,2.3955580029368577,0.609203074433657,0.7244457640538401,25.595178004683248,1535.710680280995,563.9047414930693,153422.81601435496,153422.81601435496,5.599932784523956E7,-77607.18398564504,-0.3359182096941741,304.579444,0.000000,304.579444,298.834444,5.745000,14.597500,284.236944,12.164722,42.601389,229.470833,179.790000,49.680833,179.790000,0.9332111855509327,0.9572021777605343,0.8073223337727815,0.7834982659379369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=23
2025-04-09,actual_day,2025-04-09,2025-04-09,1,2025-04-09,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,22,22,22,260.639444,11.84724745454545455,18,975,232905.0000,232905.0000,85010325.0000,10586.590909090909090909,10586.590909090909090909,238.87692308,239.24584615,238.876923076923076923,2.8306445,2.7499182,6.678207810320782,6.969302237390974,25.431773736888545,23.674549672244883,2.857510729613734,0.9396517412935323,3.513359201773836,1.6904513888888888,0.6250945775535939,0.7326619273301738,24.006239614165512,1440.3743768499307,597.9591556075947,155851.74185227297,155851.74185227297,5.688588577607963E7,-77053.25814772703,-0.3308355687843843,304.745833,0.000000,304.745833,304.745833,0.000000,30.211389,274.534444,13.895000,25.366389,235.273056,188.764722,46.508333,188.764722,0.9008636523149984,0.9493870431154156,0.8569892059688928,0.8023218883968155,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000001,3.552713678800501E-15,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=22
2025-04-10,actual_day,2025-04-10,2025-04-10,1,2025-04-10,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,22,22,22,265.736667,12.07893940909090909,17,794,189476.0000,189476.0000,69158740.0000,8612.545454545454545455,8612.545454545454545455,238.63476071,238.01914358,238.634760705289672544,2.6821003,2.5327101,7.8535178035178035,7.86624767225326,20.490947117725625,19.318309355554636,3.7361702127659573,1.0386937769562539,3.5033059735522114,1.6448901623686722,0.6397953216374269,0.7674912543728136,27.050112177424396,1623.0067306454637,527.9515486341985,140296.0848715403,140296.0848715403,5.120807097811221E7,-49179.91512845969,-0.2595574908086496,286.276667,0.000000,286.276667,286.276667,0.000000,7.087222,279.189444,13.452778,26.706667,239.030000,191.149167,47.880833,191.149167,0.9752434513621244,0.9518148767961221,0.8561570100747998,0.7996869291162895,0.000000,0.000000,0.000001,-0.000001,0.000000,0.000000,0.0,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=22
2025-04-11,actual_day,2025-04-11,2025-04-11,1,2025-04-11,actual,Roy Hill Mine,Haulers,CAT 793,CAT793,79L,Universal,AHS,21,22,22,293.693333,13.34969695454545455,19,1065,253935.0000,253935.0000,92686275.0000,11542.500000000000000000,11542.500000000000000000,238.43661972,237.09990610,238.436619718309859155,2.5472412,2.4358420,6.888819377606674,6.688906304423545,22.18587302445692,21.849688625978647,3.042192192192192,0.9936238306253078,3.441270661157025,2.0003703703703706,0.6536912751677852,0.7711135213304411,24.47998753287334,1468.7992519724005,581.1275167888218,170673.27730372254,170673.27730372254,6.229574621585873E7,-83261.72269627746,-0.3278859656852244,302.860278,0.000000,302.860278,302.860278,0.000000,4.461389,298.398889,4.705556,26.536944,267.156389,211.134444,56.021944,211.134444,0.9852691514330499,0.9842306532270376,0.8952995431171549,0.7903028084881618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,3.552713678800501E-15,ok,actuals_daily_v3 | material_destination_excluded | truck_count_ui_alias_from_actuals=22
